Reset,Reiniciar
"We regret to inform you that products you'd like to buy can't be received at single pickup location. Please consider ","Lamentamos informar que os produtos que você deseja comprar não podem ser recebidos em uma única loja de retirada. Por favor, considere "
"splitting your Order","dividir seu Pedido"
", using alternative shipping method (if available) or ",", usando um método de envio alternativo (se disponível) ou "
"contacting store owner","entrando em contato com o proprietário da loja"
" for negotiating other options","para negociar outras opções"
"Check Out with Multiple Addresses","Finalizar com Múltiplos Endereços"
"Contact Us","Entre em Contato"
"Choose on map","Escolher no mapa"
"Pickup Point Details","Detalhes do Ponto de Retirada"
"Choose a Store","Escolha uma Loja"
"Editing is not applicable for the selected shipping method","A edição não é aplicável para o método de envio selecionado"
"Please, choose a store where you would like to pick up your order","Por favor, escolha uma loja onde você gostaria de retirar seu pedido"
"Please fill in the comment field","Por favor, preencha o campo de comentário"
"Comment length limit is exceeded. Please keep it less than {length} symbols","Limite de tamanho do comentário foi excedido. Por favor, mantenha-o com menos de {length} símbolos"
"Choose a store...","Escolha uma loja..."
Information,Informação
General,Geral
"Extension Enabled","Extensão Habilitada"
"Check Product Availability in Stores on Checkout and Cart","Verifique a Disponibilidade do Produto nas Lojas no Checkout e no Carrinho"
"Store Details Description Template","Modelo de Descrição de Detalhes da Loja"
"Where to Display Store Details","Onde Exibir Detalhes da Loja"
"Date Settings","Configurações de Data"
"Allow Customers to Choose Pickup Date","Permitir que os Clientes Escolham a Data de Retirada"
"Allow Same Day Pickup","Permitir Retirada no Mesmo Dia"
"Time Settings","Configurações de Horário"
"Allow Customers to Choose Pickup Time","Permitir que os Clientes Escolham o Horário de Retirada"
"Same Day Pickup Cut-off Time","Horário de Corte para Retirada no Mesmo Dia"
"Min. Time Required to Handle Order (Hours)","Tempo Mínimo Necessário para Processar o Pedido (Horas)"
"Works based on calendar days.","Funciona com base em dias do calendário."
"Min. Time Required to Handle Backorder (Hours)","Tempo Mínimo Necessário para Processar Pedidos em Espera (Horas)"
"Works based on calendar days.<br/><strong>Note:</strong> the current setting is non-applicable for Magento 2.3.* versions due to MSI peculiarities.","Funciona com base em dias do calendário.<br/><strong>Observação:</strong> a configuração atual não é aplicável às versões Magento 2.3.* devido às peculiaridades do MSI."
"Pickup Options (Curbside Pickup, Non-contact Delivery, Pandemic Conditions, etc)","Opções de Retirada (Retirada na Calçada, Entrega sem Contato, Condições de Pandemia, etc)"
"Pickup Option Checkbox Enabled","Caixa de Seleção de Opção de Retirada Habilitada"
"Pickup Option Label","Rótulo da Opção de Retirada"
"Display Pickup Option Conditions on the Storefront","Exibir Condições da Opção de Retirada no Frontend"
"Adiciona um texto estático ao checkout se o local tiver a Opção de Retirada habilitada. Pode ser usado para informar os clientes sobre o procedimento de retirada. Se a Caixa de Seleção de Opção de Retirada estiver desabilitada e a Exibição de Condições da Opção de Retirada no Frontend estiver habilitada, o campo Condições da Opção de Retirada é exibido no frontend quando o método de Retirada na Loja é escolhido.","Adiciona um texto estático ao checkout se o local tiver a Opção de Retirada habilitada. Pode ser usado para informar os clientes sobre o procedimento de retirada. Se a Caixa de Seleção de Opção de Retirada estiver desabilitada e a Exibição de Condições da Opção de Retirada no Frontend estiver habilitada, o campo Condições da Opção de Retirada é exibido no frontend quando o método de Retirada na Loja é escolhido."
"Pickup Option Conditions Label","Rótulo das Condições da Opção de Retirada"
"É usado como rótulo para as Condições da Opção de Retirada no Frontend","É usado como rótulo para as Condições da Opção de Retirada no Frontend"
"Allow Customers Leave Comments","Permitir que os Clientes Deixem Comentários"
"Adiciona uma área de texto ao checkout se o local tiver a Opção de Retirada habilitada. Pode ser usado para coletar informações dos clientes que ajudarão a identificá-los. Se a Caixa de Seleção de Opção de Retirada estiver desabilitada e a opção Permitir que os Clientes Deixem Comentários estiver habilitada, o campo de Comentários é exibido no frontend quando o método de Retirada na Loja é escolhido.","Adiciona uma área de texto ao checkout se o local tiver a Opção de Retirada habilitada. Pode ser usado para coletar informações dos clientes que ajudarão a identificá-los. Se a Caixa de Seleção de Opção de Retirada estiver desabilitada e a opção Permitir que os Clientes Deixem Comentários estiver habilitada, o campo de Comentários é exibido no frontend quando o método de Retirada na Loja é escolhido."
"Placeholder for Customer Comments Field","Marcador de Posição para o Campo de Comentários do Cliente"
"Customer Comments Field Value Is Required","O Valor do Campo de Comentários do Cliente é Obrigatório"
"Labels Enabled","Rótulos Habilitados"
"Adiciona rótulos à seção ""Retirada Disponível"" nas páginas de produtos e à descrição de localização no localizador de lojas. Você pode precisar adicionar manualmente {{curbside_available_label}} ao Modelo de Lista e ao Modelo de Marcação do Google. Consulte o Guia do Usuário.<br>
Para usar ao máximo a funcionalidade dessa configuração, atualize o módulo-store-pickup-with-locator-msi para a versão 1.0.3 ou superior.","Adiciona rótulos à seção ""Retirada Disponível"" nas páginas de produtos e à descrição de localização no localizador de lojas. Você pode precisar adicionar manualmente {{curbside_available_label}} ao Modelo de Lista e ao Modelo de Marcação do Google. Consulte o Guia do Usuário.<br>
Para usar ao máximo a funcionalidade dessa configuração, atualize o módulo-store-pickup-with-locator-msi para a versão 1.0.3 ou superior."
"Label Text","Texto do Rótulo"
"Pickup Option Banner","Banner da Opção de Retirada"
"Coloca um banner na página do produto. Para habilitar/desabilitar o bloco CMS apropriado nas Páginas de Produtos ou editar seu conteúdo, vá para Conteúdo -> Blocos -> ""Nome do Bloco Selecionado""","Coloca um banner na página do produto. Para habilitar/desabilitar o bloco CMS apropriado nas Páginas de Produtos ou editar seu conteúdo, vá para Conteúdo -> Blocos -> ""Nome do Bloco Selecionado"""
"In-Store Pickup","Retirada na Loja"
Habilitado,Habilitado
Título,Título
"Nome do Método","Nome do Método"
Preço,Preço
"Calcular Taxa de Manuseio","Calcular Taxa de Manuseio"
"Taxa de Manuseio Padrão","Taxa de Manuseio Padrão"
"Mostrar Método se Não Aplicável","Mostrar Método se Não Aplicável"
"Mensagem de Erro Exibida","Mensagem de Erro Exibida"
"Ordem de Classificação","Ordem de Classificação"
"Opção de Retirada","Opção de Retirada"
"Aplicável para Este Local","Aplicável para Este Local"
"Habilita a Opção de Retirada para este local.","Habilita a Opção de Retirada para este local."
"Texto das Condições da Opção de Retirada","Texto das Condições da Opção de Retirada"
"Selecione uma loja para coletar seu pedido:","Selecione uma loja para coletar seu pedido:"
"Data de Retirada:","Data de Retirada:"
"Horário de Retirada:","Horário de Retirada:"
